Country Name,Country Code,Indicator Code,year,value
Bahrain,BHR,IT.CEL.SETS.P2,2020,119.41160169027
Bahrain,BHR,GOV_WGI_PV_EST,2020,-0.5964745
Bahrain,BHR,GOV_WGI_RL_EST,2020,-0.110376599999999
Bahrain,BHR,SE.TER.ENRR,2020,54.4077922369055
Bahrain,BHR,IP.JRN.ARTC.SC,2020,563.68
Bangladesh,BGD,GOV_WGI_CC_EST,2020,-1.07605779999999
Bangladesh,BGD,IT.NET.BBND.P2,2020,6.04506220711318
Bangladesh,BGD,NY.GDP.PCAP.PP.CD,2020,6640.584373310621
Bangladesh,BGD,TX.VAL.TECH.MF.ZS,2020,
Bangladesh,BGD,IT.CEL.SETS.P2,2020,106.002140470412
Bangladesh,BGD,GOV_WGI_PV_EST,2020,-1.01518479999999
Bangladesh,BGD,GOV_WGI_RL_EST,2020,-0.8969166
Bangladesh,BGD,SE.TER.ENRR,2020,22.6923019564501
Bangladesh,BGD,IP.JRN.ARTC.SC,2020,5084.6
Barbados,BRB,GOV_WGI_CC_EST,2020,1.1695313
Barbados,BRB,IT.NET.BBND.P2,2020,45.43873225937
Barbados,BRB,NY.GDP.PCAP.PP.CD,2020,16555.362214523506
Barbados,BRB,TX.VAL.TECH.MF.ZS,2020,20.303822133168723
Barbados,BRB,IT.CEL.SETS.P2,2020,104.722078254017
Barbados,BRB,GOV_WGI_PV_EST,2020,1.0680614
Barbados,BRB,GOV_WGI_RL_EST,2020,0.7048546
Barbados,BRB,SE.TER.ENRR,2020,52.971630831
Barbados,BRB,IP.JRN.ARTC.SC,2020,58.94
Belarus,BLR,GOV_WGI_CC_EST,2020,-0.1014181
Belarus,BLR,IT.NET.BBND.P2,2020,34.8152229336418
Belarus,BLR,NY.GDP.PCAP.PP.CD,2020,24872.306674452844
Belarus,BLR,TX.VAL.TECH.MF.ZS,2020,5.098125922496125
Belarus,BLR,IT.CEL.SETS.P2,2020,125.164732031333
Belarus,BLR,GOV_WGI_PV_EST,2020,-0.818298499999999
Belarus,BLR,GOV_WGI_RL_EST,2020,-0.8602112
Belarus,BLR,SE.TER.ENRR,2020,79.900160036935
Belarus,BLR,IP.JRN.ARTC.SC,2020,1550.1
Belgium,BEL,GOV_WGI_CC_EST,2020,1.5662608
Belgium,BEL,IT.NET.BBND.P2,2020,41.0239697084264
Belgium,BEL,NY.GDP.PCAP.PP.CD,2020,56120.09584204656
Belgium,BEL,TX.VAL.TECH.MF.ZS,2020,15.261861578971311
Belgium,BEL,IT.CEL.SETS.P2,2020,99.9100614924974
Belgium,BEL,GOV_WGI_PV_EST,2020,0.3686413
Belgium,BEL,GOV_WGI_RL_EST,2020,1.4533249
Belgium,BEL,SE.TER.ENRR,2020,79.4996032714844
Belgium,BEL,IP.JRN.ARTC.SC,2020,16602.95
Belize,BLZ,GOV_WGI_CC_EST,2020,-0.0753264999999999
Belize,BLZ,IT.NET.BBND.P2,2020,9.21159022752628
Belize,BLZ,NY.GDP.PCAP.PP.CD,2020,9638.89513695889
Belize,BLZ,TX.VAL.TECH.MF.ZS,2020,0.938240933761362
Belize,BLZ,IT.CEL.SETS.P2,2020,67.551661668526
Belize,BLZ,GOV_WGI_PV_EST,2020,0.6026689
Belize,BLZ,GOV_WGI_RL_EST,2020,-0.5207908
Belize,BLZ,SE.TER.ENRR,2020,25.9421694120047
Belize,BLZ,IP.JRN.ARTC.SC,2020,16.66
Benin,BEN,GOV_WGI_CC_EST,2020,-0.0352655
Benin,BEN,IT.NET.BBND.P2,2020,0.229384945213792
Benin,BEN,NY.GDP.PCAP.PP.CD,2020,3244.58772756805
Benin,BEN,TX.VAL.TECH.MF.ZS,2020,1.8436494297798645
Benin,BEN,IT.CEL.SETS.P2,2020,85.2390738023357
Benin,BEN,GOV_WGI_PV_EST,2020,-0.283192699999999
Benin,BEN,GOV_WGI_RL_EST,2020,-0.393457699999999
Benin,BEN,SE.TER.ENRR,2020,10.3808002471924
Benin,BEN,IP.JRN.ARTC.SC,2020,351.4
Bermuda,BMU,GOV_WGI_CC_EST,2020,1.1797991
Bermuda,BMU,IT.NET.BBND.P2,2020,35.7242707589078
Bermuda,BMU,NY.GDP.PCAP.PP.CD,2020,85146.40062756959
Bermuda,BMU,TX.VAL.TECH.MF.ZS,2020,5.482394182151822
Bermuda,BMU,IT.CEL.SETS.P2,2020,105.619583113293
Bermuda,BMU,GOV_WGI_PV_EST,2020,0.9766825
Bermuda,BMU,GOV_WGI_RL_EST,2020,0.6485582
Bermuda,BMU,SE.TER.ENRR,2020,
Bermuda,BMU,IP.JRN.ARTC.SC,2020,
Bhutan,BTN,GOV_WGI_CC_EST,2020,1.3421241
Bhutan,BTN,IT.NET.BBND.P2,2020,0.414152616992595
Bhutan,BTN,NY.GDP.PCAP.PP.CD,2020,12475.04800342798
Bhutan,BTN,TX.VAL.TECH.MF.ZS,2020,0.0818080898528299
Bhutan,BTN,IT.CEL.SETS.P2,2020,96.7702849068709
Bhutan,BTN,GOV_WGI_PV_EST,2020,1.1154419
Bhutan,BTN,GOV_WGI_RL_EST,2020,0.6470186
Bhutan,BTN,SE.TER.ENRR,2020,16.8650740250552
Bhutan,BTN,IP.JRN.ARTC.SC,2020,79.45
