iso3,country_name,n_years,mean_raw_rank,sd_raw_rank,mean_percentile_rank,sd_percentile_rank,mean_score
COD,Democratic Republic of the Congo,4,174.25,12.365947867699695,0.034027213226108854,0.010334073669043065,21.7766484
COG,Congo,4,161.75,19.293781381574732,0.10598524165712969,0.038892023368439804,26.4827838225
COL,Colombia,4,50.0,4.760952285695232,0.7229792253149037,0.013736187717760927,58.868959402499996
COM,Comoros,3,172.33333333333334,7.767453465154031,0.08026459161032273,0.01693557986501185,24.361838706666664
CPV,Cabo Verde,4,114.0,5.354126134736337,0.36581697558883236,0.050790552347550554,36.82931475
CRI,Costa Rica,4,71.0,7.25718035235908,0.6035542601764715,0.06204836515769618,49.28295114
CUB,Cuba,4,121.75,17.461863207191456,0.3180637023776822,0.1428793398454478,34.980188215
CYP,Cyprus,4,46.25,3.304037933599835,0.7427628138911508,0.023387488855887296,60.3010297225
CZE,Czech Republic,4,29.5,1.2909944487358056,0.835861552943903,0.01340230460545147,67.1020407825
DEU,Germany,4,9.75,3.5000000000000004,0.9457807757829425,0.019476191982214792,75.5164586575
DJI,Djibouti,3,145.66666666666666,8.621678104251705,0.2224228426737059,0.03788953207014953,31.662932213333335
DMA,Dominica,1,127.0,,0.34196891191709844,,34.81908485
DNK,Denmark,4,11.5,2.516611478423583,0.9365486166604035,0.01106915128472919,75.09305079
DOM,Dominican Republic,4,77.25,9.945685831890463,0.5664923508969449,0.09252949372617064,46.611991555
DZA,Algeria,4,111.25,8.958236433584458,0.38363163645026255,0.004697430495748667,37.0735076625
ECU,Ecuador,4,100.0,3.74165738677394,0.44422818647215856,0.03093307875021952,39.7110089475
EGY,Egypt,4,64.25,1.5,0.6419114434333566,0.035732842325250404,51.8719708475
ERI,Eritrea,3,181.66666666666666,7.6376261582597325,0.030415468070285723,0.01371052137384761,20.66249980666667
ESP,Spain,4,27.5,2.5166114784235836,0.8474471848008741,0.010607936271785506,68.05709898
EST,Estonia,4,19.5,1.9148542155126762,0.8909981487738534,0.017852271051987022,70.7022779825
ETH,Ethiopia,4,142.0,17.869900204906944,0.20696376281252074,0.13711406881722973,31.042570769999998
FIN,Finland,4,5.25,2.5,0.9710757058649049,0.012757078114308913,77.6692321375
FJI,Fiji,4,85.0,11.575836902790227,0.5307510024128255,0.027849745698746507,43.928161765
FRA,France,4,7.0,2.943920288775949,0.9600528220511484,0.02048005257716898,76.9073662325
GAB,Gabon,4,128.25,15.777093099385155,0.2910383073357449,0.04086039313049582,34.04235998
GBR,United Kingdom,4,3.5,1.0,0.9806339070582532,0.005001600591238815,79.3116295125
GEO,Georgia,4,86.75,9.032349269892817,0.5190644307476744,0.03523915034547243,43.5977526525
GHA,Ghana,4,108.0,22.583179581272432,0.40363131687954634,0.09527349930347011,38.160764445
GIN,Guinea,4,157.0,7.071067811865479,0.12796681249547004,0.04038910303001821,28.2544938225
GMB,Gambia,4,152.5,13.52774925846868,0.15485041254504828,0.03907686443543891,28.9040710325
GNB,Guinea Bissau,3,173.0,5.5677643628300215,0.07648948250074665,0.007471028787920283,24.216128386666668
GNQ,Equatorial Guinea,2,165.0,2.8284271247461903,0.13357127108367323,0.030927639227842897,27.566788584999998
GRC,Greece,4,52.75,4.272001872658766,0.7069992667574585,0.023455393074696795,57.60794699
GRD,Grenada,3,122.0,5.5677643628300215,0.3489205679037461,0.010599805964155195,35.661504533333336
GTM,Guatemala,4,123.75,8.770214744615247,0.31097190857300694,0.07462720425657353,34.837798325
GUY,Guyana,3,121.33333333333333,5.033222956847168,0.3515726051470769,0.0410863469854629,35.848689246666666
HND,Honduras,4,136.75,18.080837001274762,0.24374164338755466,0.06046493770451325,32.1059149575
HRV,Croatia,4,67.75,5.560275772537424,0.6244494485568423,0.014642234325678823,50.461988635
HTI,Haiti,4,174.5,15.264337522473745,0.033620826433092915,0.01713209032684098,21.4428323925
HUN,Hungary,4,43.25,1.258305739211791,0.7593304437719988,0.01881491212955052,61.36167903
IDN,Indonesia,4,42.5,3.696845502136472,0.7622341748352927,0.040043049596781996,61.4786741325
IND,India,4,42.25,8.180260794538684,0.7631299207038276,0.06124103724144365,61.2889546875
IRL,Ireland,4,18.25,1.258305739211792,0.8987327155829,0.004626235274122229,71.6398077625
IRN,Iran,4,83.0,11.105554165971789,0.5411365434500451,0.03409293060068115,44.3689484425
IRQ,Iraq,4,118.75,15.370426148939398,0.3419937466919958,0.06646022591719668,35.68856575
ISL,Iceland,4,35.25,12.284814474246923,0.8002044015413092,0.08251943783091728,64.4456837425
ISR,Israel,4,21.75,5.6789083458002745,0.8796592040020684,0.02735878938092666,70.027654085
ITA,Italy,4,25.5,1.2909944487358056,0.857739891401534,0.017683970938443455,68.5800123925
JAM,Jamaica,4,102.5,14.617341299520465,0.43262025889529565,0.05990470763972099,39.4243581975
