Country Name,Country Code,Indicator Code,2020,2021,2022,2023,2024,2025
Europe & Central Asia (IDA & IBRD countries),TEC,SE.TER.ENRR,76.050666809082,79.2664413452148,81.2411270141602,82.1417770385742,88.6189193725586,
Europe & Central Asia (IDA & IBRD countries),TEC,IP.JRN.ARTC.SC,212825.4,225739.2499999999,217537.26,225213.78,,
European Union,EUU,GOV_WGI_CC_EST,,,,,,
European Union,EUU,IT.NET.BBND.P2,36.80537372697726,37.861399431188325,38.68026572545088,,,
European Union,EUU,NY.GDP.PCAP.PP.CD,47566.48779831536,51969.9654059153,58483.70607133439,61368.10972301992,63585.40519816953,
European Union,EUU,TX.VAL.TECH.MF.ZS,16.06409898571272,16.376262361722546,19.122686878381803,19.231986411860262,20.6188532892774,
European Union,EUU,IT.CEL.SETS.P2,121.47637172011454,123.265317671991,123.68709966630416,,,
European Union,EUU,GOV_WGI_PV_EST,,,,,,
European Union,EUU,GOV_WGI_RL_EST,,,,,,
European Union,EUU,SE.TER.ENRR,75.0071029663086,77.8575668334961,79.6330184936523,79.4997329711914,79.4997329711914,
European Union,EUU,IP.JRN.ARTC.SC,554457.07,588273.9800000001,568738.7100000001,558077.3500000001,,
Fragile and conflict affected situations,FCS,GOV_WGI_CC_EST,,,,,,
Fragile and conflict affected situations,FCS,IT.NET.BBND.P2,,,,,,
Fragile and conflict affected situations,FCS,NY.GDP.PCAP.PP.CD,,,,,,
Fragile and conflict affected situations,FCS,TX.VAL.TECH.MF.ZS,,,,,,
Fragile and conflict affected situations,FCS,IT.CEL.SETS.P2,,,,,,
Fragile and conflict affected situations,FCS,GOV_WGI_PV_EST,,,,,,
Fragile and conflict affected situations,FCS,GOV_WGI_RL_EST,,,,,,
Fragile and conflict affected situations,FCS,SE.TER.ENRR,,,,,,
Fragile and conflict affected situations,FCS,IP.JRN.ARTC.SC,,,,,,
Heavily indebted poor countries (HIPC),HPC,GOV_WGI_CC_EST,,,,,,
Heavily indebted poor countries (HIPC),HPC,IT.NET.BBND.P2,0.6278075329486558,0.6715542809833007,0.6848334558074849,,,
Heavily indebted poor countries (HIPC),HPC,NY.GDP.PCAP.PP.CD,2816.029474219592,3035.0607700499318,3310.581125799772,3449.708579280772,3611.76258813976,
Heavily indebted poor countries (HIPC),HPC,TX.VAL.TECH.MF.ZS,3.276045743746442,2.991750708083749,2.822257304765387,2.872558642728726,,
Heavily indebted poor countries (HIPC),HPC,IT.CEL.SETS.P2,70.93169033941808,74.48475683972988,76.71402219469633,,,
Heavily indebted poor countries (HIPC),HPC,GOV_WGI_PV_EST,,,,,,
Heavily indebted poor countries (HIPC),HPC,GOV_WGI_RL_EST,,,,,,
Heavily indebted poor countries (HIPC),HPC,SE.TER.ENRR,8.93181037902832,9.09300994873047,,,,
Heavily indebted poor countries (HIPC),HPC,IP.JRN.ARTC.SC,13666.909999999996,16868.079999999998,19437.929999999997,20192.86,,
High income,HIC,GOV_WGI_CC_EST,,,,,,
High income,HIC,IT.NET.BBND.P2,34.17,35.39,36.18,36.95,37.79,38.71
High income,HIC,NY.GDP.PCAP.PP.CD,49883.04373658682,55480.52749609616,61423.03506146975,64488.49606242595,67043.78630521707,
High income,HIC,TX.VAL.TECH.MF.ZS,20.893656291942783,21.106227973749952,23.26101647165597,23.414149703467405,25.83550105061942,
High income,HIC,IT.CEL.SETS.P2,125.9,128.7,131.3,135.8,138.5,141.6
High income,HIC,GOV_WGI_PV_EST,,,,,,
High income,HIC,GOV_WGI_RL_EST,,,,,,
High income,HIC,SE.TER.ENRR,78.8942108154297,80.3660430908203,80.0000076293945,81.3826599121094,82.0356521606445,
High income,HIC,IP.JRN.ARTC.SC,1638250.3287158846,1724939.6825055997,1661944.886332167,1619009.1690773324,,
IBRD only,IBD,GOV_WGI_CC_EST,,,,,,
IBRD only,IBD,IT.NET.BBND.P2,15.87,17.46,18.89,20.1,21.16,22.32
IBRD only,IBD,NY.GDP.PCAP.PP.CD,14582.307350482131,16457.402874682706,18299.618326549986,19833.304920123108,21125.529596274915,
IBRD only,IBD,TX.VAL.TECH.MF.ZS,22.96913859796202,21.446655616163195,21.77215072424559,21.60341218142963,21.54217133322329,
IBRD only,IBD,IT.CEL.SETS.P2,109.6,111.6,112.2,113.9,114.9,115.9
IBRD only,IBD,GOV_WGI_PV_EST,,,,,,
IBRD only,IBD,GOV_WGI_RL_EST,,,,,,
IBRD only,IBD,SE.TER.ENRR,45.7753410339355,48.078239440918,50.1821708679199,52.1241912841797,52.829891204834,
